,Word,Entity
288,first,ORDINAL
289,our day,DATE
290,about 20 minutes,TIME
291,one,CARDINAL
292,about 10 minutes later,TIME
293,an hour and,TIME
294,the first week,DATE
295,april,DATE
296,3,CARDINAL
297,10 minutes,TIME
298,2,CARDINAL
299,492021,CARDINAL
300,6 feet,QUANTITY
301,1 hour and 52 minutes,TIME
302,2021,DATE
303,early in the morning,TIME
304,2,CARDINAL
305,2,CARDINAL
306,200,CARDINAL
307,four,CARDINAL
308,this same week,DATE
309,10x,CARDINAL
310,26,CARDINAL
311,3,CARDINAL
312,12,CARDINAL
313,5,CARDINAL
314,23rds,CARDINAL
315,10 am,TIME
316,930,CARDINAL
317,23 hour,TIME
318,one,CARDINAL
319,2,CARDINAL
320,8 hours,TIME
321,california,GPE
322,only one,CARDINAL
323,45 minutes,TIME
324,6 feet,QUANTITY
325,17,CARDINAL
326,1130,DATE
327,100,CARDINAL
328,4,CARDINAL
329,400,CARDINAL
330,half,CARDINAL
331,thursday,DATE
332,last week,DATE
333,one,CARDINAL
334,the entire day,DATE
335,50,CARDINAL
336,2,CARDINAL
337,5 hours,TIME
338,650,CARDINAL
339,999,CARDINAL
340,999,CARDINAL
341,the day,DATE
342,one,CARDINAL
343,the wrong day,DATE
344,that day,DATE
345,3000,CARDINAL
346,60 90 minutes,TIME
347,4,CARDINAL
348,750,CARDINAL
349,this past weekend,DATE
350,4,CARDINAL
351,the day,DATE
352,about 35,CARDINAL
353,800,CARDINAL
354,6,CARDINAL
355,26,CARDINAL
356,4,CARDINAL
357,2 hours,TIME
358,about 40 feet,QUANTITY
359,about 30 minutes,TIME
360,1,CARDINAL
361,17,CARDINAL
362,60 minutes,TIME
363,40 minutes,TIME
364,65 years,DATE
365,12 hours,TIME
366,6,CARDINAL
367,3,CARDINAL
368,2 days,DATE
369,50,DATE
370,2,CARDINAL
371,1 hour,TIME
372,2,CARDINAL
373,third,ORDINAL
374,a year my 3 year old,DATE
375,many years,DATE
376,2 hours,TIME
377,1,CARDINAL
378,the day,DATE
379,10,CARDINAL
380,all day,DATE
381,120,CARDINAL
382,300,CARDINAL
383,69,CARDINAL
384,4,CARDINAL
385,2400,CARDINAL
386,4 year old,DATE
387,2,CARDINAL
388,about 6 hours,TIME
389,2,CARDINAL
390,the second day,DATE
391,6 hours,TIME
392,another night,TIME
393,4 year old,DATE
394,11 year old,DATE
395,more than two hours,TIME
396,one,CARDINAL
397,three,CARDINAL
398,195,CARDINAL
399,720,CARDINAL
400,8,CARDINAL
401,minutes,TIME
402,first,ORDINAL
403,today,DATE
404,today,DATE
405,8,CARDINAL
406,15,CARDINAL
407,90 minutes,TIME
408,15,CARDINAL
409,an hour and a half,TIME
410,12 hours,TIME
411,12 hours,TIME
412,90 minute,TIME
413,15,CARDINAL
414,a day later,DATE
415,10,CARDINAL
416,one,CARDINAL
417,90 minutes,TIME
418,second,ORDINAL
419,1000,CARDINAL
420,3,CARDINAL
421,2,CARDINAL
422,30 minutes,TIME
423,300,CARDINAL
424,six,CARDINAL
425,all day,DATE
426,a scam three days,DATE
427,3 seconds,TIME
428,spring,DATE
429,multi day,DATE
430,one,CARDINAL
431,30,CARDINAL
432,1hr,DATE
433,1,CARDINAL
434,four days,DATE
435,12 hour,TIME
436,3,CARDINAL
437,early in the morning,TIME
438,an hour and a half,TIME
439,over an hour and a half,TIME
440,a overhungry seven year old,DATE
441,15 hours,TIME
442,15 hours,TIME
443,the day,DATE
444,our 7 hours,TIME
445,2,CARDINAL
446,1,CARDINAL
447,one day,DATE
448,140tax,CARDINAL
449,80,CARDINAL
450,90,CARDINAL
451,15 minutes,TIME
452,tuesday,DATE
453,90 minutes,TIME
454,200minute,CARDINAL
